   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  9.83351837E-04 -3.79388352E-03 -1.29137972E-02  1.34954322E-02  0.00000000E+00
     100  9.31327024E-06 -3.98534717E-06 -2.64834671E-01  2.64834671E-01  0.00000000E+00
     200  1.08205699E-06  1.32502018E-06 -2.64833954E-01  2.64833954E-01  0.00000000E+00
     300  1.42875211E-05  2.00234394E-05 -2.64808489E-01  2.64808490E-01  0.00000000E+00
     400 -1.19255969E-05  4.96915436E-06 -2.64802465E-01  2.64802466E-01  0.00000000E+00
     500  1.77630653E-05 -9.40241098E-06 -2.64845294E-01  2.64845295E-01  0.00000000E+00
     600  1.26861527E-05  2.19264072E-05 -2.64841369E-01  2.64841370E-01  0.00000000E+00
     700 -2.40059760E-06  6.93084974E-06 -2.64821361E-01  2.64821362E-01  0.00000000E+00
     800 -1.14283000E-06  6.98215168E-06 -2.64872335E-01  2.64872335E-01  0.00000000E+00
     900 -1.27568531E-05 -2.39814277E-06 -2.64823558E-01  2.64823558E-01  0.00000000E+00
    1000  3.65440845E-06 -6.40794164E-06 -2.64824398E-01  2.64824399E-01  0.00000000E+00
    1100 -7.34364837E-07 -1.16949808E-06 -2.64857976E-01  2.64857976E-01  0.00000000E+00
    1200  9.51509672E-06  5.19584728E-06 -2.64835975E-01  2.64835976E-01  0.00000000E+00
    1300  7.12395884E-06 -1.40196446E-05 -2.64811929E-01  2.64811929E-01  0.00000000E+00
    1400 -2.59334281E-06  1.29160505E-06 -2.64842724E-01  2.64842724E-01  0.00000000E+00
    1500 -4.31779072E-06  1.35871687E-05 -2.64831548E-01  2.64831548E-01  0.00000000E+00
    1600 -5.45061521E-06 -3.15362798E-06 -2.64832440E-01  2.64832440E-01  0.00000000E+00
    1700 -2.71882274E-06  2.84497393E-05 -2.64830959E-01  2.64830961E-01  0.00000000E+00
    1800 -1.37314144E-05  6.85953641E-06 -2.64856091E-01  2.64856091E-01  0.00000000E+00
    1900  2.04982256E-05 -8.08303670E-07 -2.64832946E-01  2.64832947E-01  0.00000000E+00
    2000  5.86103278E-06  5.50583504E-06 -2.64839996E-01  2.64839996E-01  0.00000000E+00
    2100 -7.22869773E-06 -5.32624345E-06 -2.64861912E-01  2.64861912E-01  0.00000000E+00
    2200 -1.02800279E-05  1.47799295E-06 -2.64845047E-01  2.64845048E-01  0.00000000E+00
    2300  1.55263162E-06  2.15014196E-06 -2.64834123E-01  2.64834123E-01  0.00000000E+00
    2400  3.62149201E-06  1.99200386E-06 -2.64802755E-01  2.64802755E-01  0.00000000E+00
    2500  1.62188311E-05 -5.60390009E-09 -2.64832520E-01  2.64832520E-01  0.00000000E+00
    2600 -1.09817780E-05 -5.11557994E-06 -2.64832815E-01  2.64832816E-01  0.00000000E+00
    2700  9.81080923E-06 -1.67819361E-05 -2.64856533E-01  2.64856534E-01  0.00000000E+00
    2800  2.78735900E-06 -3.69304840E-06 -2.64851090E-01  2.64851090E-01  0.00000000E+00
    2900  1.91635399E-06  2.54395422E-06 -2.64838684E-01  2.64838684E-01  0.00000000E+00
    3000  1.46939821E-06 -8.65543957E-07 -2.64836246E-01  2.64836246E-01  0.00000000E+00
    3100  5.48823843E-07 -8.92173798E-07 -2.64790495E-01  2.64790495E-01  0.00000000E+00
    3200  1.60012658E-05 -1.86152246E-05 -2.64832458E-01  2.64832460E-01  0.00000000E+00
    3300  1.20992379E-05  1.03769353E-06 -2.64820233E-01  2.64820234E-01  0.00000000E+00
    3400 -1.12148801E-06  4.03854005E-06 -2.64842568E-01  2.64842568E-01  0.00000000E+00
    3500 -1.19218527E-06  1.28001047E-05 -2.64842278E-01  2.64842278E-01  0.00000000E+00
    3600 -1.80288094E-05  9.86728080E-06 -2.64832276E-01  2.64832277E-01  0.00000000E+00
    3700 -1.33426406E-06 -1.69247044E-05 -2.64835766E-01  2.64835767E-01  0.00000000E+00
    3800 -4.73964368E-06  1.86791109E-05 -2.64826285E-01  2.64826286E-01  0.00000000E+00
    3900  1.52164156E-05 -1.50861456E-05 -2.64822247E-01  2.64822248E-01  0.00000000E+00
    4000 -2.02679442E-06 -2.36475477E-05 -2.64837693E-01  2.64837694E-01  0.00000000E+00
    4100 -5.50528621E-06 -1.83433743E-06 -2.64844499E-01  2.64844499E-01  0.00000000E+00
    4200  9.51015392E-06 -4.89067053E-06 -2.64818965E-01  2.64818966E-01  0.00000000E+00
    4300 -9.89737669E-06 -3.70450199E-06 -2.64828961E-01  2.64828962E-01  0.00000000E+00
    4400  2.33155425E-06  2.72130199E-06 -2.64845484E-01  2.64845484E-01  0.00000000E+00
    4500 -1.30016247E-05  1.47684415E-05 -2.64845072E-01  2.64845073E-01  0.00000000E+00
    4600 -8.85915005E-06  6.14180090E-06 -2.64814149E-01  2.64814149E-01  0.00000000E+00
    4700  5.23122045E-06 -3.20380874E-06 -2.64836655E-01  2.64836655E-01  0.00000000E+00
    4800 -7.67809781E-06 -3.67148054E-07 -2.64817929E-01  2.64817929E-01  0.00000000E+00
    4900 -3.22400490E-06  9.68452064E-06 -2.64841137E-01  2.64841137E-01  0.00000000E+00
