#  Iter.   M_avg.    U_Bind.    Susc.
    9001  0.031289  0.299128  0.005899
    9011  0.031265  0.299214  0.005897
    9021  0.031246  0.299298  0.005895
    9031  0.031246  0.299383  0.005893
    9041  0.031206  0.299460  0.005891
    9051  0.031205  0.299539  0.005889
    9061  0.031369  0.299457  0.005888
    9071  0.031371  0.299381  0.005887
    9081  0.031338  0.299299  0.005886
    9091  0.031325  0.299218  0.005886
    9101  0.031424  0.299129  0.005885
    9111  0.031451  0.299051  0.005885
    9121  0.031385  0.298963  0.005885
    9131  0.031446  0.298888  0.005885
    9141  0.031464  0.298821  0.005885
    9151  0.031468  0.298759  0.005884
    9161  0.031420  0.298690  0.005884
    9171  0.031381  0.298615  0.005884
    9181  0.031396  0.298548  0.005884
    9191  0.031361  0.298476  0.005884
    9201  0.031340  0.298402  0.005883
    9211  0.031348  0.298334  0.005883
    9221  0.031305  0.298259  0.005883
    9231  0.031264  0.298179  0.005882
    9241  0.031243  0.298097  0.005882
    9251  0.031254  0.298022  0.005882
    9261  0.031267  0.297953  0.005881
    9271  0.031308  0.297896  0.005881
    9281  0.031273  0.297834  0.005880
    9291  0.031261  0.297773  0.005880
    9301  0.031253  0.297712  0.005879
    9311  0.031211  0.297646  0.005879
    9321  0.031206  0.297582  0.005878
    9331  0.031185  0.297516  0.005877
    9341  0.031193  0.297455  0.005877
    9351  0.031227  0.297405  0.005876
    9361  0.031260  0.297364  0.005875
    9371  0.031308  0.297333  0.005874
    9381  0.031306  0.297305  0.005874
    9391  0.031285  0.297274  0.005873
    9401  0.031274  0.297244  0.005872
    9411  0.031303  0.297222  0.005871
    9421  0.031284  0.297198  0.005870
    9431  0.031238  0.297169  0.005870
    9441  0.031228  0.297139  0.005869
    9451  0.031203  0.297107  0.005868
    9461  0.031192  0.297075  0.005867
    9471  0.031214  0.297050  0.005866
    9481  0.031335  0.296979  0.005866
    9491  0.031324  0.296908  0.005865
    9501  0.031316  0.296839  0.005865
    9511  0.031333  0.296776  0.005865
    9521  0.031341  0.296718  0.005864
    9531  0.031371  0.296668  0.005864
    9541  0.031313  0.296612  0.005863
    9551  0.031306  0.296557  0.005863
    9561  0.031277  0.296498  0.005863
    9571  0.031263  0.296439  0.005862
    9581  0.031313  0.296390  0.005862
    9591  0.031308  0.296341  0.005861
    9601  0.031283  0.296290  0.005861
    9611  0.031364  0.296239  0.005860
    9621  0.031323  0.296182  0.005860
    9631  0.031326  0.296128  0.005860
    9641  0.031315  0.296075  0.005860
    9651  0.031328  0.296027  0.005859
    9661  0.031306  0.295977  0.005859
    9671  0.031275  0.295923  0.005859
    9681  0.031282  0.295874  0.005858
    9691  0.031286  0.295827  0.005858
    9701  0.031336  0.295789  0.005857
    9711  0.031343  0.295755  0.005857
    9721  0.031319  0.295718  0.005856
    9731  0.031306  0.295681  0.005856
    9741  0.031335  0.295651  0.005855
    9751  0.031308  0.295618  0.005855
    9761  0.031322  0.295591  0.005854
    9771  0.031301  0.295561  0.005854
    9781  0.031276  0.295529  0.005853
    9791  0.031267  0.295497  0.005852
    9801  0.031234  0.295461  0.005852
    9811  0.031233  0.295427  0.005851
    9821  0.031268  0.295401  0.005850
    9831  0.031263  0.295376  0.005850
    9841  0.031249  0.295350  0.005849
    9851  0.031229  0.295323  0.005848
    9861  0.031220  0.295295  0.005847
    9871  0.031248  0.295275  0.005847
    9881  0.031218  0.295251  0.005846
    9891  0.031207  0.295227  0.005845
    9901  0.031174  0.295199  0.005844
    9911  0.031239  0.295174  0.005843
    9921  0.031258  0.295155  0.005843
    9931  0.031292  0.295142  0.005842
    9941  0.031295  0.295132  0.005841
    9951  0.031273  0.295119  0.005840
    9961  0.031268  0.295108  0.005840
    9971  0.031354  0.295088  0.005839
    9981  0.031404  0.295074  0.005839
    9991  0.031426  0.295065  0.005838
    9001  0.035020  0.390786  0.007112
    9011  0.035013  0.390430  0.007117
    9021  0.035006  0.390080  0.007122
    9031  0.034984  0.389732  0.007127
    9041  0.034960  0.389386  0.007132
    9051  0.034981  0.389053  0.007137
    9061  0.035026  0.388734  0.007142
    9071  0.034985  0.388412  0.007147
    9081  0.035012  0.388104  0.007151
    9091  0.035028  0.387805  0.007156
    9101  0.035026  0.387513  0.007160
    9111  0.035072  0.387234  0.007164
    9121  0.035055  0.386957  0.007168
    9131  0.035135  0.386688  0.007173
