optimizer,final_energy,mean_site_diff,max_site_diff,run
adam,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,0
sgd,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,0
lbfgs,-4.0,2.8518527841590096e-08,1.2874004810381266e-07,0
rmsprop,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,0
adagrad,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,0
adamw,-4.0,3.6926285702195856e-08,6.000249744842943e-06,0
adam,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,1
sgd,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,1
lbfgs,-4.0,2.8518527841590096e-08,1.2874004810381266e-07,1
rmsprop,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,1
adagrad,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,1
adamw,-4.0,3.6926285702195856e-08,6.000249744842943e-06,1
adam,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,2
sgd,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,2
lbfgs,-4.0,2.8518527841590096e-08,1.2874004810381266e-07,2
rmsprop,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,2
adagrad,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,2
adamw,-4.0,3.6926285702195856e-08,6.000249744842943e-06,2
adam,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,3
sgd,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,3
lbfgs,-4.0,2.8518527841590096e-08,1.2874004810381266e-07,3
rmsprop,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,3
adagrad,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,3
adamw,-4.0,3.6926285702195856e-08,6.000249744842943e-06,3
adam,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,4
sgd,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,4
lbfgs,-4.0,2.8518527841590096e-08,1.2874004810381266e-07,4
rmsprop,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,4
adagrad,-4.0,2.8469053973563978e-08,2.6011151931963823e-07,4
adamw,-4.0,3.6926285702195856e-08,6.000249744842943e-06,4
