site,mx,my,mz,atom,run
1,0.00073466316,0.0032236539,0.9999946,1,run1
2,0.0040417495,-0.4402298,0.897876,1,run1
3,0.0061665843,-0.83085257,0.5564585,1,run1
4,0.0062145186,-0.99978894,-0.019583458,1,run1
5,0.004153436,-0.81660146,-0.5771871,1,run1
6,-0.0011512688,-0.47910205,-0.87775844,1,run1
7,-0.017536081,-0.1913452,-0.98136616,1,run1
8,-0.062001433,0.02224392,-0.9978282,1,run1
9,-0.15964843,0.19823061,-0.9670662,1,run1
10,-0.33349207,0.34877706,-0.8758639,1,run1
11,-0.57111794,0.42755544,-0.70072865,1,run1
12,-0.7993922,0.3661941,-0.47631288,1,run1
13,-0.93784153,0.15931347,-0.30833825,1,run1
14,-0.9495642,-0.11553496,-0.29151243,1,run1
15,-0.83093286,-0.342297,-0.43861532,1,run1
16,-0.60895544,-0.4262983,-0.6689119,1,run1
17,-0.35379088,-0.35579705,-0.86500895,1,run1
18,-0.13682382,-0.20703591,-0.96871847,1,run1
19,0.02758209,-0.0663275,-0.9974166,1,run1
20,0.15563136,0.022222005,-0.9875652,1,run1
21,0.24889158,0.048843928,-0.967299,1,run1
22,0.29042104,0.027121143,-0.9565146,1,run1
23,0.2668575,-0.014040651,-0.9636337,1,run1
24,0.1873298,-0.04673032,-0.98118496,1,run1
25,0.08418399,-0.05904125,-0.9946996,1,run1
26,-0.0033577767,-0.05342845,-0.9985661,1,run1
27,-0.04909335,-0.031141482,-0.9983086,1,run1
28,-0.046137795,0.019434208,-0.99874604,1,run1
29,0.0027552387,0.12080114,-0.9926729,1,run1
30,0.101508215,0.2940094,-0.9503971,1,run1
31,0.26819322,0.5275593,-0.80607295,1,run1
32,0.5012117,0.71633023,-0.48544607,1,run1
33,0.72012776,0.6924774,-0.043486875,1,run1
34,0.8452827,0.42882004,0.3187643,1,run1
35,0.8846132,0.039819658,0.46462226,1,run1
36,0.8598744,-0.35802317,0.36391667,1,run1
37,0.754775,-0.65482634,0.03895129,1,run1
38,0.5521249,-0.7314296,-0.40021098,1,run1
39,0.31744388,-0.5725413,-0.75592715,1,run1
40,0.1444213,-0.31830353,-0.9369233,1,run1
41,0.041553833,-0.07036716,-0.9966553,1,run1
42,-0.030766573,0.17887175,-0.9833912,1,run1
43,-0.11708933,0.47009712,-0.87481356,1,run1
44,-0.250036,0.7756695,-0.57949877,1,run1
45,-0.4063679,0.9114083,-0.064808376,1,run1
46,-0.50542295,0.7332028,0.45493,1,run1
47,-0.5353346,0.35608527,0.76591134,1,run1
48,-0.535625,-0.07886066,0.8407657,1,run1
49,-0.5212017,-0.50562835,0.68752366,1,run1
50,-0.46703076,-0.8351598,0.29050034,1,run1
51,-0.34083247,-0.9021218,-0.26459312,1,run1
52,-0.18781276,-0.6789958,-0.70971197,1,run1
53,-0.08066875,-0.38341552,-0.92004627,1,run1
54,-0.029654093,-0.15926646,-0.9867902,1,run1
55,-0.027011143,-0.013503508,-0.99954396,1,run1
56,-0.07533417,0.08467909,-0.9935563,1,run1
57,-0.1808911,0.15455422,-0.9712834,1,run1
58,-0.33458927,0.18879326,-0.923259,1,run1
59,-0.49606654,0.163459,-0.8527598,1,run1
60,-0.60619766,0.07089066,-0.7921483,1,run1
61,-0.62029874,-0.05601439,-0.782363,1,run1
62,-0.53053975,-0.15557542,-0.833261,1,run1
63,-0.3684234,-0.17737184,-0.91258067,1,run1
64,-0.18329006,-0.11513372,-0.9762935,1,run1
65,-0.0037160527,-0.003027426,-0.99998856,1,run1
66,0.17533632,0.109889396,-0.97835654,1,run1
67,0.35980225,0.17460813,-0.9165448,1,run1
68,0.52273744,0.15637392,-0.8380291,1,run1
69,0.6152513,0.059805065,-0.7860594,1,run1
70,0.6048243,-0.06617113,-0.793605,1,run1
71,0.49780723,-0.1599455,-0.8524115,1,run1
72,0.33777013,-0.18742849,-0.9223784,1,run1
73,0.18372755,-0.15504916,-0.9706719,1,run1
74,0.076916575,-0.08651009,-0.9932774,1,run1
75,0.027283434,0.010233718,-0.9995754,1,run1
76,0.028797522,0.15378734,-0.98768425,1,run1
77,0.07865111,0.37499544,-0.9236842,1,run1
78,0.18454538,0.66928625,-0.7197215,1,run1
79,0.33765262,0.89802414,-0.28203434,1,run1
80,0.46640664,0.84120554,0.2735657,1,run1
81,0.52262765,0.51733154,0.6776639,1,run1
82,0.5375352,0.09185191,0.8382238,1,run1
83,0.5373468,-0.34369013,0.7701529,1,run1
84,0.50840116,-0.7240253,0.4661712,1,run1
85,0.41115883,-0.9102181,-0.049511872,1,run1
86,0.25492078,-0.7825038,-0.56806976,1,run1
87,0.12030233,-0.47857362,-0.869767,1,run1
88,0.0328229,-0.18601976,-0.9819976,1,run1
89,-0.039440572,0.06391173,-0.9971759,1,run1
90,-0.1410213,0.3114691,-0.939734,1,run1
91,-0.3120233,0.5662446,-0.7628948,1,run1
92,-0.546083,0.72967046,-0.4115514,1,run1
93,-0.7509052,0.65982115,0.027881868,1,run1
94,-0.85856795,0.36733046,0.3576722,1,run1
95,-0.88502955,-0.029354751,0.46460843,1,run1
96,-0.8474291,-0.41987613,0.32491243,1,run1
97,-0.7247154,-0.68825954,-0.032959554,1,run1
98,-0.50744224,-0.718649,-0.4754429,1,run1
99,-0.2733767,-0.5333028,-0.8005332,1,run1
100,-0.10471532,-0.29912537,-0.9484507,1,run1
101,-0.004481078,-0.124078155,-0.99226236,1,run1
102,0.04557105,-0.021194933,-0.99873626,1,run1
103,0.049712807,0.030272331,-0.9983047,1,run1
104,0.005167044,0.05298745,-0.9985818,1,run1
105,-0.08155917,0.05893005,-0.99492484,1,run1
