step,total,heisenberg,dmi,anisotropy
0,-4.0,-4.0,-0.0,0.0
1,-4.0,-4.0,-0.0,0.0
2,-4.000000476837158,-4.000000476837158,-0.0,0.0
3,-4.0,-4.0,-0.0,0.0
4,-3.999999523162842,-3.999999523162842,-0.0,0.0
5,-3.999999523162842,-3.999999523162842,-0.0,0.0
6,-4.0,-4.0,-0.0,0.0
7,-4.000000476837158,-4.000000476837158,-0.0,0.0
8,-4.0,-4.0,-0.0,0.0
9,-4.0,-4.0,-0.0,0.0
10,-4.0,-4.0,-0.0,0.0
11,-3.999999523162842,-3.999999523162842,-0.0,0.0
12,-3.999999761581421,-3.999999761581421,-0.0,0.0
13,-4.0,-4.0,-0.0,0.0
14,-3.999999761581421,-3.999999761581421,-0.0,0.0
15,-3.999999761581421,-3.999999761581421,-0.0,0.0
16,-3.999999761581421,-3.999999761581421,-0.0,0.0
17,-4.0,-4.0,-0.0,0.0
18,-3.999999761581421,-3.999999761581421,-0.0,0.0
19,-4.000000476837158,-4.000000476837158,-0.0,0.0
20,-4.000000476837158,-4.000000476837158,-0.0,0.0
21,-3.999999523162842,-3.999999523162842,-0.0,0.0
22,-4.0,-4.0,-0.0,0.0
23,-4.0,-4.0,-0.0,0.0
24,-3.9999992847442627,-3.9999992847442627,-0.0,0.0
25,-3.999999761581421,-3.999999761581421,-0.0,0.0
26,-4.0,-4.0,-0.0,0.0
27,-3.999999523162842,-3.999999523162842,-0.0,0.0
28,-3.999999523162842,-3.999999523162842,-0.0,0.0
29,-3.999999523162842,-3.999999523162842,-0.0,0.0
30,-4.0,-4.0,-0.0,0.0
31,-3.9999992847442627,-3.9999992847442627,-0.0,0.0
32,-3.999999523162842,-3.999999523162842,-0.0,0.0
33,-4.0,-4.0,-0.0,0.0
34,-4.0,-4.0,-0.0,0.0
35,-3.999999761581421,-3.999999761581421,-0.0,0.0
36,-4.000000953674316,-4.000000953674316,-0.0,0.0
37,-3.999999523162842,-3.999999523162842,-0.0,0.0
38,-4.0,-4.0,-0.0,0.0
39,-3.999999523162842,-3.999999523162842,-0.0,0.0
40,-4.0,-4.0,-0.0,0.0
41,-4.000000476837158,-4.000000476837158,-0.0,0.0
42,-4.0,-4.0,-0.0,0.0
43,-3.999999523162842,-3.999999523162842,-0.0,0.0
44,-4.0,-4.0,-0.0,0.0
