site,mx,my,mz,atom
1,0.0007346629,0.003223653,0.9999945,1
2,0.0010919103,-0.51585007,0.85667825,1
3,0.0061665867,-0.8308527,0.55645835,1
4,0.006214513,-0.99978894,-0.019583454,1
5,0.0041534337,-0.8166013,-0.5771873,1
6,-0.0011512688,-0.47910208,-0.87775844,1
7,-0.017536076,-0.1913452,-0.98136616,1
8,-0.062001485,0.022243932,-0.9978281,1
9,-0.15964831,0.19823058,-0.96706617,1
10,-0.33349192,0.34877694,-0.875864,1
11,-0.5711178,0.42755532,-0.7007287,1
12,-0.7993923,0.36619404,-0.47631282,1
13,-0.93784153,0.15931334,-0.30833825,1
14,-0.9495643,-0.115534924,-0.2915124,1
15,-0.8309328,-0.34229702,-0.43861532,1
16,-0.6089555,-0.426298,-0.6689119,1
17,-0.35379085,-0.35579687,-0.86500907,1
18,-0.13682382,-0.20703596,-0.96871835,1
19,0.02758208,-0.06632746,-0.9974166,1
20,0.15563142,0.022222009,-0.9875652,1
21,0.24889158,0.04884391,-0.9672989,1
22,0.29042113,0.027121149,-0.9565145,1
23,0.2668574,-0.014040652,-0.9636338,1
24,0.18732977,-0.04673032,-0.9811849,1
25,0.084184,-0.059041243,-0.99469954,1
26,-0.0033577771,-0.053428438,-0.99856603,1
27,-0.049093287,-0.031141462,-0.9983086,1
28,-0.046137802,0.0194342,-0.99874604,1
29,0.0027552377,0.12080116,-0.99267286,1
30,0.10150821,0.29400933,-0.9503971,1
31,0.26819316,0.5275591,-0.8060731,1
32,0.5012115,0.7163303,-0.48544604,1
33,0.720128,0.69247717,-0.0434869,1
34,0.84528273,0.42881978,0.3187643,1
35,0.8846133,0.03981965,0.46462217,1
36,0.8598742,-0.3580235,0.36391693,1
37,0.7547749,-0.6548264,0.03895129,1
38,0.5521251,-0.73142946,-0.40021104,1
39,0.3174439,-0.57254136,-0.7559271,1
40,0.14442134,-0.31830373,-0.93692327,1
41,0.04155383,-0.0703672,-0.9966553,1
42,-0.03076658,0.17887174,-0.9833913,1
43,-0.11708934,0.47009715,-0.87481356,1
44,-0.25003594,0.77566934,-0.57949895,1
45,-0.40636805,0.9114082,-0.064808376,1
46,-0.505423,0.7332029,0.45492983,1
47,-0.5353347,0.35608527,0.7659113,1
48,-0.5356249,-0.07886067,0.8407657,1
49,-0.5212017,-0.5056286,0.6875235,1
50,-0.4670309,-0.83515966,0.29050043,1
51,-0.3408324,-0.90212184,-0.264593,1
52,-0.18781276,-0.67899585,-0.70971197,1
53,-0.08066876,-0.38341558,-0.9200462,1
54,-0.029654095,-0.15926641,-0.9867902,1
55,-0.02701113,-0.013503511,-0.99954396,1
56,-0.075334184,0.08467912,-0.9935563,1
57,-0.180891,0.15455423,-0.97128344,1
58,-0.33458933,0.18879327,-0.92325896,1
59,-0.49606666,0.16345905,-0.8527596,1
60,-0.60619754,0.070890665,-0.7921484,1
61,-0.620299,-0.05601437,-0.7823629,1
62,-0.5305398,-0.15557548,-0.83326095,1
63,-0.3684234,-0.17737186,-0.9125806,1
64,-0.18328996,-0.1151337,-0.97629344,1
65,-0.0037160513,-0.003027426,-0.9999885,1
66,0.17533632,0.109889425,-0.97835654,1
