site,atom,mx,my,mz
1,1,0.000734663083,0.00322365358,0.999994534
2,1,0.00404174963,-0.440229808,0.897876039
3,1,0.00616658434,-0.830852554,0.55645845
4,1,0.00621451837,-0.999788912,-0.019583459
5,1,0.00415343565,-0.816601392,-0.577187071
6,1,-0.00115126884,-0.479102056,-0.877758449
7,1,-0.0175360805,-0.191345206,-0.981366139
8,1,-0.0620014346,0.0222439201,-0.997828157
9,1,-0.159648424,0.198230596,-0.967066188
10,1,-0.333492085,0.348777053,-0.875863914
11,1,-0.571117926,0.427555443,-0.700728662
12,1,-0.799392226,0.366194085,-0.476312881
13,1,-0.937841536,0.159313465,-0.308338246
14,1,-0.949564204,-0.115534964,-0.291512427
15,1,-0.830932827,-0.342297001,-0.438615321
16,1,-0.608955417,-0.426298288,-0.668911855
17,1,-0.353790891,-0.355797057,-0.865008936
18,1,-0.136823803,-0.207035893,-0.968718424
19,1,0.0275820907,-0.0663274945,-0.997416609
20,1,0.155631366,0.022222004,-0.987565218
21,1,0.248891565,0.0488439236,-0.967298951
22,1,0.290421019,0.0271211424,-0.956514545
23,1,0.266857496,-0.0140406508,-0.963633715
24,1,0.187329788,-0.0467303158,-0.98118491
25,1,0.0841839832,-0.0590412476,-0.994699547
26,1,-0.00335777644,-0.0534284447,-0.998566035
27,1,-0.049093352,-0.0311414825,-0.998308595
28,1,-0.0461377936,0.0194342077,-0.998746022
29,1,0.00275523856,0.120801145,-0.992672903
30,1,0.101508215,0.294009387,-0.950397055
31,1,0.268193215,0.527559307,-0.806072935
32,1,0.501211683,0.716330211,-0.48544606
33,1,0.720127737,0.692477389,-0.0434868736
34,1,0.84528264,0.428820015,0.318764261
35,1,0.884613216,0.0398196593,0.464622269
36,1,0.859874453,-0.358023154,0.363916676
37,1,0.754774964,-0.654826352,0.0389512882
38,1,0.552124943,-0.731429575,-0.400210974
39,1,0.317443883,-0.572541323,-0.755927123
40,1,0.14442129,-0.318303513,-0.936923351
41,1,0.041553831,-0.0703671582,-0.996655278
42,1,-0.0307665727,0.178871758,-0.98339123
43,1,-0.117089329,0.470097123,-0.874813571
44,1,-0.250036005,0.775669488,-0.579498785
45,1,-0.406367869,0.911408268,-0.0648083683
46,1,-0.505422921,0.733202808,0.454930008
47,1,-0.535334577,0.356085281,0.765911329
48,1,-0.535624947,-0.0788606589,0.840765671
49,1,-0.521201707,-0.505628338,0.687523646
50,1,-0.467030751,-0.835159766,0.290500332
51,1,-0.340832466,-0.902121779,-0.264593132
52,1,-0.187812759,-0.678995796,-0.709711967
53,1,-0.0806687488,-0.383415525,-0.920046242
54,1,-0.0296540925,-0.159266462,-0.986790165
55,1,-0.0270111403,-0.013503507,-0.999543923
56,1,-0.0753341687,0.0846790887,-0.993556347
57,1,-0.180891102,0.154554213,-0.97128338
58,1,-0.334589255,0.188793236,-0.92325898
59,1,-0.496066518,0.163458984,-0.852759738
60,1,-0.60619767,0.0708906548,-0.792148281
61,1,-0.620298717,-0.0560143903,-0.782363017
62,1,-0.530539722,-0.155575417,-0.833260999
63,1,-0.368423399,-0.177371849,-0.912580641
64,1,-0.183290069,-0.115133715,-0.97629349
65,1,-0.00371605243,-0.00302742582,-0.999988513
66,1,0.175336309,0.109889397,-0.97835653
67,1,0.359802243,0.174608119,-0.916544789
68,1,0.52273744,0.156373921,-0.838029096
69,1,0.615251257,0.059805061,-0.786059314
70,1,0.604824329,-0.0661711319,-0.79360501
71,1,0.497807238,-0.159945507,-0.852411513
72,1,0.337770131,-0.187428489,-0.922378393
73,1,0.183727545,-0.155049165,-0.970671904
74,1,0.076916566,-0.0865100861,-0.993277326
75,1,0.0272834344,0.0102337177,-0.999575352
76,1,0.0287975224,0.153787343,-0.987684239
77,1,0.0786511113,0.374995449,-0.923684154
78,1,0.184545361,0.669286219,-0.719721451
79,1,0.337652612,0.89802413,-0.28203435
80,1,0.466406614,0.841205501,0.27356567
81,1,0.522627667,0.517331559,0.677663913
82,1,0.537535173,0.0918519111,0.838223815
83,1,0.537346784,-0.343690137,0.770152922
84,1,0.508401133,-0.724025338,0.466171211
85,1,0.411158822,-0.910218105,-0.0495118719
86,1,0.254920774,-0.782503776,-0.568069748
